Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
141,,,4121025051,0,01-03-2022,735,,pringles sour cream,230,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,230,Cash
142,,,4121025051,0,01-03-2022,735,,Rainbow Belt Sourpunk,4.48,6.00%,0.26,6.00%,0.26,-,-,-,-,-,-,27,PC,1,5,Cash
143,,,4121025051,0,01-03-2022,735,,Waffle Chips Milk Drizzle 85 gm,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
144,,,4121025051,0,01-03-2022,735,1905,Oya Wafer Roll Chocolate cigarku,127.12,9.00%,11.44,9.00%,11.44,-,-,-,-,-,-,27,PC,1,150,Cash
145,,,4121025052,0,01-03-2022,99,,pancake,99,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,99,Cash
146,,,4121025053,0,01-03-2022,165,,Food,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
147,,,4121025053,0,01-03-2022,165,220210,Mogu Mogu Mango Juice 300 Ml,58.04,6.00%,3.48,6.00%,3.48,-,-,-,-,-,-,27,PC,1,65,Cash
148,,,4121025053,0,01-03-2022,165,,"Hershey""S Kisses Cookies 'N' Creme 33.6gm",42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
149,,,4121025054,0,01-03-2022,330,,Hello panda Chocolate biscuit,67.8,9.00%,6.1,9.00%,6.1,-,-,-,-,-,-,27,PC,1,80,Cash
150,,,4121025054,0,01-03-2022,330,,Hello Panda Strawberry,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
151,,,4121025054,0,01-03-2022,330,,hallo panda,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
152,,,4121025054,0,01-03-2022,330,,Meiji HELLO PANDA,90,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,90,Cash
153,,,4121025055,0,01-03-2022,220,,Nutella,220,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,220,Cash
154,,,4121025056,0,01-03-2022,930,,Food,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
